sentenca,categoria_maritaka
Sanduíche maravilhoso e lugar muito agradável,"comida, ambiente"
"Boa qualidade, preço bom pra rodízio e bom atendimento","comida, preço, serviço"
"Excelente atendimento do Rafael Viera Ambiente bonito, musica prazerosa.","<frase>ambiente, serviço"
Muito bom... Ótimo atendimento...,serviço
"Excelente restaurante, atendimento muito bom e preços acessíveis no cardápio!","<frase>serviço, comida, preço"
Muito bom atendimento do garçom Fernando e ótima comida!!!,"serviço, comida"
"Com um excelente atendimento, boa acomodação e uma comida maravilhosa!","serviço, ambiente, comida"
"Atendimento rápido, várias opções no cardapio, tradionalmente bom em carnes, pedir com atenção!","serviço, comida"
"Ótimo lugar para comer bem, com qualidade e bom atendimento.","comida, bebida, serviço"
"Local e músicas muito bom, super bem atendida mas a pizza é muito ruim.","serviço, ambiente, comida"
"Eles tinham 6 cozinheiros de linha visíveis @ todos os tempos, as mesas eram limpas rapidamente e ninguém parecia encontrar garçons difíceis de encontrar.",serviço
Atendimento de altíssima qualidade.,serviço
"Boa qualidade da comida e bom atendimento, porém os preços são altos.","comida, serviço, preço"
"A comida é muito boa, atendimento muito bom e local muito bem decorado, com bom gosto.","comida, serviço, ambiente"
"Saborosa, criativa, lindamente servida (gourmet) e em quantidade relativamemte generosa.","comida, serviço"
"Nos atendeu sa melhor forma, me serviu um peixe que eu...Mais","serviço, comida, bebida"
": Tem uma parte com mesas menores porém fica no sol embaixo de uma estrutura linda de vidro, a noite deve ser bem legal.",ambiente
"Horrível o tempo de espera para RETIRADA do pedido (sendo que era um pedido frio), ceviche parecia uma sopa, só “caldo” e o temaki já foi maior, agora é mini temaki.","serviço, comida"
"Ótimo atendimento, ambiente familiar agradável, fomos mt bem recebidos pelo Sheldon, parabéns, otimo trabalho","serviço, ambiente, geral"
O restaurante é excelente com um atendimento digno de reverência.,serviço
"Atendimento excelente,e comida nota 1000","serviço, comida"
Excelente atendimento do Emanuel Carioca !,serviço
Muito bom picanha de primeira qualidade facil acesso climatizado otimo mesmo pra todas as horas bom de mais,"comida, ambiente, localização, geral"
"Excelente atendimento é maravilhoso acompanhamento , e ótimas sugestões para nosso momento entre Irmãs.","serviço, ambiente"
Bom atendimento dos garçãos.,serviço
"Muito bom, recomendo para um passeio diferente em família, boas opções gastronômicas é um flutuante à beira do rio onde vc pega uma pequena embarcação para chegar até ela, mas é super seguro.","localização, geral, ambiente, comida"
Aperitivos de boa qualidade e bom atendimento.,"serviço, comida"
"Pratos deliciosos, autênticos, com preços normais.","comida, preço"
"Rodízio bom com boas opções tendo muitas das vezes que fui ao local, um atendimento consistente e pratos também, sendo deliciosos.","comida, serviço, geral"
Atendimento excelente e preço super acessível,"serviço, preço"
Excelente atendimento.,serviço
"Local lindíssimo, atendimento excelente, organizado e comida saborosa.","local lindíssimo, atendimento excelente, organizado e comida saborosatemas identificados:ambienteserviçocomida"
"Estava gostoso, atendimento bom e não deixou nada a desejar.","serviço, comida"
"Ótimo atendimento, ambiente limpo e playlist muito boa!","ambiente, serviço"
"Comi um escondidinho de carne seca maravilhoso além da variedade de comida nordestina no self service, sem contar o delicioso petit gateau que eles servem, simplesmente delicioso.","comida, bebida, serviço"
Atendimento excepcional.,serviço
Atendimento ruim.,serviço
"As vezes compro frango na brasa pra comer em casa, e, ultimamente não tive boas experiências como antes, acho que mudaram de cozinheiro ou de tempero, não sei, tá diferente mais não melhor como antes.","comida, serviço"
Atendimento atencioso.,serviço
"Excelente atendimento do Garçom Edson, Prato Coco Bambu muito bem servido e cremoso como prometido.","serviço, comida"
Sugestão: melhorar a higienização dos banheiros e investir em treinamento para o atendimento ao cliente ou ainda contratar garçons que possam fazer bons atendimentos e não abandonem os clientes à mesa.,serviço
Variedade e bom atendimento!,"<frase>serviço, comida"
"A comida demorou, atendimento ruim, a bebida só chegou quando a comida acabou, os atendendentes não te dão muita atenção para a sua reclamação quanto ao pedido.","serviço, comida, bebida"
"Pessoal, recomendo, essa tem uma grande variedade de Cachaça, ultimamente ganhou o premio da revista veja, além de um excelente atendimento, um toicinho delicioso, mais esta sempre cheio, tem que ser paciente para conseguir uma mesa, isso torna, ate mais atrativo.","comida, bebida, serviço, ambiente, geral"
Local agradável e com pessoal super atencioso.,"ambiente, serviço"
Excelente atendimento e comida amazônica com toque requintado.,"comida, serviço"
"Não dou 5 estrelas porque na maioria das vezes que estivemos neste restaurante, os garçons não serviram nossos pratos como costumam fazer nos restaurantes do mesmo nível e até mesmo da mesma rede em outras cidades.","serviço, comida"
"Ótimo, atendimento sempre muito bom e comida sempre ótima.","serviço, comida"
"Na época da cheia vale a pena aliviar o calor amazônico em um flutuante e o Abaré é a melhor pedida, ambiente agradável, contato total com a natureza, excelente atendimento e comida deliciosa.","ambiente, serviço, comida"
"Restaurante ótimo para família, ótimo atendimento",serviço
Excelente opção para uma imersão na gastronomia amazônica.,"comida, ambiente, geral"
"Comida muito boa, mas faltou um um som ambiente","comida, ambiente"
"Ótimo atendimento do Rafael, comida muito gostosa, sempre mantendo o padrão de sabor e atendimento","serviço, comida, geral"
"Um ambiente super agradável, com atendimento excelente e a comida muito saborosa.","ambiente, serviço, comida"
Olhar bem o cardápio para evitar surpresas na hora do fechamento da conta é uma boa dica.,"comida, preço"
"Excelente atendimento, está de parabéns a senhora Ketherin.",serviço
"Funcionários atenciosos, pizza maravilhosa massa fina, bem cozida, uma delícia fora o ambiente super agradável.","comida, serviço, ambiente"
Atendimento maravilhoso,serviço
Tudo de excelente qualidade,geral
"Ótimo restaurante para quem aprecia um boa culinária chinesa, bem localizado e com ótimos funcionais e preços justos.","localização, comida, serviço, preço"
"Ótimo lugar , ambiente climatizado , ótimo atendimento , boa localização,  comida perfeita e bem apresentada e um ótimo açaí.","serviço, ambiente, localização, comida, bebida"
Atendimento muito bom.,serviço
"Bom o ambiente, ..  mais as coisas caras","ambiente, preço"
Vocês sabem tornar o atendimento impecável.,serviço
"Vale muito a pena conhecer, lugar show de bola e ótimo atendimento!","serviço, ambiente, geral"
O atendimento foi bom o frango não tava bom a carne tava um pouco melhor precisa melhorar mas foi a primeira vez que fomos ai,"serviço, comida"
"Confesso que fiquei receosa por ser a primeira vez, mas me surpreendi totalmente.","<frase>""confesso que fiquei receosa por ser a primeira vez, mas me surpreendi totalmente""<saída>geral"
"O preço é um pouquinho salgado, porém o nível do restaurante compensa.","preço, geral"
tudo de bom parente.,"comida, bebida, serviço"
Excelente serviço.,serviço
"Melhor restaurante de Manaus, ótimo  atendimento  lugar climatizado limpo ótima comida peixe fresquinho maravilhoso ...","serviço, ambiente, comida"
"Lugar agradável, bom atendimento e comida deliciosa!","ambiente, serviço, comida"
Ótimo atendimento!,serviço
Não é de admirar este lugar tem sido consistentemente melhor restaurante foi classificado em Manaus nos últimos anos.,<frase>geral
Bebida gelada e atendimento razoável.,"bebida, serviço"
Muito boa atendentes maravilhosos lugar super bom comida de alta qualidade o melhor garçom  e o Fabiano.,"serviço, comida, ambiente"
"Excelente, o garçom Anderson Ferreira fez toda a diferença, super atencioso.",serviço
O restaurante ficou muito lindo e com uma iluminação gostosa - alguns lugares mais escuros e outros mais clarinhos.,ambiente
Gostaria de registar o ótimo atendimento e orientação dos pratos servidos.,serviço
"Comida excelente, atendimento impecável seguindo todos os protocolos de segurança.","serviço, comida"
O único problema e o estacionamento.,localização
"Ótima comida regional de qualidade, bom atendimento, várias opções de pratos e bebidas... ótimo restaurante.","comida, bebida, serviço, geral"
"Rodizio muito bom,comida estava ótima e chegava rápido, atendimento bom  recomendo bastante esse restaurante","comida, serviço, ambiente, geral"
"O atendimento excelente, comida maravilhosa e o preço bem acessível... parabéns aos proprietários.","serviço, comida, preço"
"Ótimos pratos, comida e ambiente muito bons, atendimento eficiente, garçom Ricardo José super atencioso e educado","serviço, comida, ambiente"
Atendimento rápido e comida de qualidade!,"serviço, comida"
Solicitei cebola extra e o estabelecimento atendeu meu pedido.,serviço
Restaurante com ótimo atendimento :),serviço
"Local quente, sujo, com funcionários emburrados, o banheiro feminino não tem trinca, perguntei ao atendente, fez cara feia e disse que é assim mesmo!","ambiente, serviço"
"Local agradável, o som é extremamente alto e não permite conversar, as nossas primeiras experiências com a comida foram excelentes porém ultimamente a qualidade está a desejar.","ambiente, geral, comida"
Atendimento impecável ???,serviço
Atendimento razoável.,serviço
"Temaki muito bom, lugar agradável, atendimento diferenciado, preços bons.","<frase>comida, ambiente, serviço, preço"
O atendimento merece elogio especial pela diferenciada atenção dispensada aos clientes.,serviço
O local é super agradável tem um ótimo atendimento os pratos são espetaculares  desde a entrada ao prato principal ... Recomendo.,"serviço, comida"
Atendimento excelente do garçom Anderson Souza!,serviço
"Padrão de atendimento altíssimo, raramente vc levanta a mão sem ser visto, garçons bem treinados e educados, barmen e bargirls do lounge muito simpáticos, comida muito gostosa, bem feita, chega sempre quente à mesa, as vezes as bebidas demoram um pouco no horário de happy hour, mas posso entender motivo, com 50% de desconto nas bebidas a demanda aumenta.","serviço, bebida, comida, ambiente"
"Comida excelente ... preço adequado, os pratos servem bem... ambiente agradável e famiar... atendimento excelente","comida, preço, ambiente, serviço"
"Ambiente super agradável, excelente atendimento e produtos de qualidade inquestionáveis.","a partir da frase fornecida, os temas identificados são:- ambiente- serviço"
"Excelente ambiente, atendimento perfeito.","ambiente, serviço"
"Comida deliciosa, atendimento ótimo e agora estão com varias promoções pra almoço e jantar.","<frase>comida, serviço, outros"
"Excelente atendimento principalmente do garçom que nos atendeu ( Pablo), a comida tava impecável e uma delícia!","serviço, comida"
"Muito boa, bom atendimento, comida boa.","serviço, comida"
"Serviço excelente, churrasco delicioso.","comida, serviço"
"Situado em um dos bairros nobres de Manaus é um lugar sofisticado, amplo e elegante com comidas de peixe tipicamente amazonense e o atendimento é  de otima qualidade.","comida, ambiente, serviço"
"Contando com excelentes instalações e situado no coração gastronômico do bairro Vieiralves, a casa possui um cardápio variado de cozinha internacional com leves toques de regionidade em alguns pratos, o que deve agradar a uma  clientela bastante diversificada.","comida, ambiente, localização"
Lugar muito bonito excelente atendimento e uma comida super saborosa... parabéns,"comida, serviço, ambiente"
"Local agradável, açaí de boa qualidade","ambiente, comida"
